timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603281813035,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281813035,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,0
1603281813040,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281813040,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281813045,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281813045,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281813050,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281813050,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,0
1603281813055,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281813055,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,1
1603281813060,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281813060,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,1
1603281813065,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281813065,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,1
